participant,xdf_file,stream_name,stream_type,n_samples,duration_sec
P01,lab_recorder_P01.xdf,DataSyncMarker,Markers,1018,977.5026303340424
P01,lab_recorder_P01.xdf,EDA,EDA,432,273.9102813693298
P01,lab_recorder_P01.xdf,HR,HeartRate,37,273.8670138084831
P02,lab_recorder_run1_P02.xdf,DataSyncMarker,Markers,0,
P02,lab_recorder_run1_P02.xdf,EDA,EDA,264,17.495664399848465
P02,lab_recorder_run1_P02.xdf,HR,HeartRate,22,17.33589057343761
P02,lab_recorder_run2_P02.xdf,DataSyncMarker,Markers,1235,839.5404677328015
P02,lab_recorder_run2_P02.xdf,EDA,EDA,786,52.28686438161458
P02,lab_recorder_run2_P02.xdf,HR,HeartRate,69,51.719545536823716
P03,labrecorder_P03.xdf,DataSyncMarker,Markers,966,764.1496818128217
P03,labrecorder_P03.xdf,EDA,EDA,0,
P03,labrecorder_P03.xdf,HR,HeartRate,0,
P04,labrecorder_P04.xdf,EDA,EDA,17422,1162.1561141013372
P04,labrecorder_P04.xdf,HR,HeartRate,1944,1159.5008956543315
P04,labrecorder_P04.xdf,Triggers,Markers,1459,1153.031974786034
P05,labrecorder_P05.xdf,EDA,EDA,13451,898.9282309427508
P05,labrecorder_P05.xdf,HR,HeartRate,1329,896.4989915102051
P05,labrecorder_P05.xdf,Triggers,Markers,1270,871.5299546888273
P06,labrecorder_P06.xdf,EDA,EDA,15155,1012.3730243498867
P06,labrecorder_P06.xdf,HR,HeartRate,1350,1010.8645486911992
P06,labrecorder_P06.xdf,Triggers,Markers,1084,982.3511115074507
P07,labrecorder_P07.xdf,EDA,EDA,17996,1197.8288421011964
P07,labrecorder_P07.xdf,HR,HeartRate,1801,1196.7672412424595
P07,labrecorder_P07.xdf,Triggers,Markers,1158,1121.647370377369
P08,labrecorder_P08.xdf,EDA,EDA,11186,745.3755583662887
P08,labrecorder_P08.xdf,HR,HeartRate,957,744.4337926957019
P08,labrecorder_P08.xdf,Triggers,Markers,864,732.8594612917855
